recclass,count,cv_obs,cv_null_mean_null2,cv_zscore_null2,cv_pvalue_null2,cv_fdr_q_null2,cv_null_mean_null3,cv_zscore_null3,cv_pvalue_null3,cv_fdr_q_null3,cv_null_mean_null4,cv_zscore_null4,cv_pvalue_null4,cv_fdr_q_null4,survives_null2,survives_null3,survives_null4,nulls_survived
CK5/6,6,0.8402556165440407,0.9970167104746773,-0.812645997488736,0.572,0.8742857142857142,0.9954650917026633,-0.804765943289128,0.552,0.9504,1.0030625591962463,-0.8113362799230995,0.544,0.8672463768115942,False,False,False,0
CK6,17,2.4421883347878035,1.7771109733012014,2.1723054140016407,0.012,0.17600000000000002,1.772425347902763,2.3121971968147585,0.012,0.29333333333333333,1.7710497167022472,2.216015363451281,0.004,0.176,False,False,False,0
CM1,19,3.3774931936034216,3.131344095530874,0.8394100964186229,0.52,0.8601503759398497,3.074343606447912,1.0142421098178707,0.424,0.9215094339622643,3.1191516653166405,0.8804465137673605,0.472,0.8672463768115942,False,False,False,0
CM1/2,18,3.923117351178089,3.9235289691472426,-0.002629965120499239,0.888,0.9480193236714977,3.928191025663192,-0.032161799234645336,0.864,0.9810526315789475,3.935381636729477,-0.07728617706917164,0.82,0.9157360406091369,False,False,False,0
CM2,414,13.49378615969992,11.561750582237506,0.4773791399819499,0.608,0.8742857142857142,12.558947638670048,0.24553728371634237,0.76,0.9810526315789475,11.658396063493289,0.5215850518286937,0.532,0.8672463768115942,False,False,False,0
CO3,334,10.185542602735445,10.073789507785284,0.02981510216263701,0.84,0.9412935323383084,7.903985397280741,0.5872071307757303,0.484,0.9322033898305084,10.375109292800381,-0.047018995065859895,0.872,0.9403921568627451,False,False,False,0
CO3.1,6,0.8067551104261951,0.8003166487779276,0.046234968729085335,0.948,0.9745794392523365,0.797689695554916,0.06378128676076361,0.988,0.9925114155251141,0.7993508462425896,0.05484309080772521,0.968,0.9724200913242008,False,False,False,0
CO3.2,8,2.5751369739864756,1.7451187506353503,1.6397800896787176,0.108,0.613953488372093,1.7854902317332304,1.5839363919775977,0.092,0.8221052631578947,1.74410814411598,1.670124851254094,0.104,0.7380645161290322,False,False,False,0
CO3.3,7,2.0019132819504613,1.6516078500361004,0.7791494870889747,0.544,0.8673381294964029,1.7955873727397849,0.4972409914587467,0.708,0.9810526315789475,1.72862866486242,0.6233501725758618,0.632,0.8912820512820512,False,False,False,0
CO3.4,5,1.6392733155028416,1.6273689678536276,0.04497276005630277,0.936,0.9667605633802817,1.7629553572158472,-0.5274025681183706,0.556,0.9504,1.6964704442281875,-0.23312245095128956,0.752,0.9119170984455959,False,False,False,0
CO3.5,12,2.9481848878827606,2.171606281072575,1.1769098604335517,0.328,0.830561797752809,2.08450681358166,1.321058146945048,0.268,0.8221052631578947,2.1516970922198233,1.2403593832616768,0.3,0.7652173913043478,False,False,False,0
CO3.6,6,1.2885345494789935,1.5953312004039548,-0.7995867787139904,0.512,0.8598473282442748,1.4580217036292065,-0.47341822918434007,0.784,0.9810526315789475,1.6158388879104686,-0.9046239971023414,0.444,0.8672463768115942,False,False,False,0
CR,8,1.2390658750842287,1.0141420700659838,2.325251061644049,0.008,0.13538461538461538,1.0046281777563124,2.4020775451740586,0.008,0.25142857142857145,1.0050596798693279,2.459107812739107,0.02,0.37714285714285717,False,False,False,0
CR2,135,3.3081400951529005,6.844009660600752,-1.448032700409189,0.116,0.613953488372093,5.751228812074709,-1.0494953611110558,0.26,0.8221052631578947,6.7845004419875625,-1.4016633501822058,0.148,0.7516666666666666,False,False,False,0
CV3,256,13.94480965990762,8.427881615052538,1.6575603640393795,0.18,0.7479999999999999,8.261632872075687,1.759186283463019,0.164,0.8221052631578947,8.535517560245925,1.5714469573189216,0.224,0.7652173913043478,False,False,False,0
Chondrite-ung,15,2.047960074762308,2.438966541423865,-0.5136370688377211,0.716,0.9093333333333333,2.1146343698643233,-0.09911764306841671,0.932,0.9810526315789475,2.4206224008745427,-0.49758743818893847,0.728,0.9119170984455959,False,False,False,0
Diogenite,241,4.211385633804179,8.470910977768106,-1.317877657865622,0.072,0.606896551724138,8.373967071271137,-1.2369045634436244,0.132,0.8221052631578947,8.222691263879838,-1.3083044989058314,0.056,0.56,False,False,False,0
Diogenite-olivine,9,0.847862785024719,1.7718819019924963,-1.4236670202603245,0.168,0.7479999999999999,1.4475639577475536,-1.004493702466293,0.348,0.8530612244897958,1.6883175330574822,-1.3190182836320623,0.2,0.7586206896551724,False,False,False,0
Diogenite-pm,11,2.558607602997008,2.1583456634036096,0.7146937152232945,0.548,0.8673381294964029,1.904537712718923,1.2174659082805595,0.324,0.8530612244897958,2.108426568631936,0.752513070889561,0.532,0.8672463768115942,False,False,False,0
E,7,1.5785076941600855,1.791045202627995,-0.5770298344519901,0.72,0.9093333333333333,1.6481509804873675,-0.19339390201178344,0.94,0.982803738317757,1.7901227267761315,-0.5523488568580347,0.772,0.9119170984455959,False,False,False,0
E-an,5,0.40642321725112507,0.3008496940610254,1.6080910852392072,0.06,0.606896551724138,0.2960167845920979,1.7323027531624078,0.048,0.7542857142857143,0.29718770057626076,1.7354916824400555,0.064,0.5866666666666667,False,False,False,0
E3,206,6.198859976845211,5.461483243521616,0.9239219254888958,0.464,0.8598473282442748,5.271984555198116,1.2146262621152144,0.296,0.8348717948717947,5.37084004298829,1.1288875082186858,0.332,0.768842105263158,False,False,False,0
E3-an,6,1.5447428242214427,1.3872436405225,1.7657151720946795,0.092,0.6133333333333333,1.3816449991334634,1.796633348692119,0.084,0.8221052631578947,1.3845468291448673,1.7417058807500794,0.12,0.7516666666666666,False,False,False,0
E5,5,1.1580230777128033,0.6609356065422273,2.591739160373907,0.008,0.13538461538461538,0.6186783262120482,2.9507279874907972,0.0,0.0,0.6792213441191571,2.3651838765738145,0.032,0.41411764705882353,False,True,False,1
E6,9,1.976639308872694,2.220429281355825,-0.5704825404081111,0.696,0.9093333333333333,2.0401797121282605,-0.16613425456156206,0.964,0.9854377880184332,2.1683846856699946,-0.4462879016095628,0.82,0.9157360406091369,False,False,False,0
EH-imp melt,6,1.2857099711041469,1.5483864031120171,-1.484663566893767,0.116,0.613953488372093,1.551678042313922,-1.548559825404715,0.108,0.8221052631578947,1.5420760285623636,-1.421187531611292,0.144,0.7516666666666666,False,False,False,0
EH3,120,2.5064408159440767,6.140940943018832,-1.6548369425751062,0.004,0.088,5.0194636751447606,-1.163943654715666,0.132,0.8221052631578947,6.227463758474694,-1.6236605268791475,0.02,0.37714285714285717,True,False,False,1
EH4,18,3.2283947263164774,2.9635402759293195,0.42282837684182906,0.692,0.9093333333333333,3.1392256193788723,0.15177416457244544,0.852,0.9810526315789475,2.998292923305699,0.4099434746689181,0.64,0.8968152866242038,False,False,False,0
EH4/5,9,0.9005445911479171,0.9386816851460705,-0.699361521787088,0.512,0.8598473282442748,0.9390513070395475,-0.7410773603297108,0.476,0.9322033898305084,0.94136360610737,-0.7687074514144057,0.448,0.8672463768115942,False,False,False,0
EH5,6,1.4033296105956679,1.7170778215000542,-1.0394298640001642,0.38,0.8451485148514851,1.7682052059249418,-1.2479132611668768,0.216,0.8221052631578947,1.7341985169128662,-1.1547412896194533,0.272,0.7652173913043478,False,False,False,0
EH6,5,1.196006743630524,1.0353883723612238,1.3971116682040703,0.204,0.7479999999999999,1.0313495816624068,1.3826861953823266,0.2,0.8221052631578947,1.038550828107974,1.3935266623998308,0.18,0.7586206896551724,False,False,False,0
EL3,19,2.828526089583445,3.397875104550228,-0.917746845488749,0.492,0.8598473282442748,3.2241199982741255,-0.6760623398231373,0.644,0.9504,3.376975415083124,-0.8986887689452455,0.504,0.8672463768115942,False,False,False,0
EL4,13,1.8474950104008434,2.6332865756716184,-1.4546793894160435,0.12,0.613953488372093,2.4275616254151915,-1.1735814293443962,0.184,0.8221052631578947,2.6318604094242555,-1.3799851382286947,0.152,0.7516666666666666,False,False,False,0
EL5,6,1.67101792993395,1.694297551687966,-0.06195941657759361,0.988,0.992,1.5348158541162733,0.40309620427628073,0.692,0.9810526315789475,1.6939184969256444,-0.06130438059138051,0.948,0.9607339449541284,False,False,False,0
EL6,72,2.940451031975538,4.785852759909432,-1.1096649418182953,0.248,0.8131645569620253,5.183786705287414,-1.2973302271501355,0.132,0.8221052631578947,4.769586802815642,-1.0876156701200639,0.216,0.7652173913043478,False,False,False,0
Eucrite,221,2.878935789292414,8.105015646832982,-1.6642122147213592,0.004,0.088,5.883661988208453,-0.9911598812750628,0.264,0.8221052631578947,8.026602194508433,-1.555436298055459,0.028,0.385,True,False,False,1
Eucrite-br,80,2.3577290018268697,5.487281944380347,-1.7407818120751786,0.024,0.29333333333333333,4.551988697767769,-1.301294946327039,0.072,0.8221052631578947,5.340637143194754,-1.6862651602377885,0.036,0.43999999999999995,False,False,False,0
Eucrite-cm,26,2.214267659925621,2.9221590044887598,-0.7413790928658965,0.544,0.8673381294964029,3.1145385594684303,-0.9710059781346032,0.376,0.8530612244897958,2.9497594651285035,-0.8502679847177437,0.432,0.8672463768115942,False,False,False,0
Eucrite-mmict,108,5.578635858733939,5.980375237472276,-0.18725302793682014,0.992,0.992,5.961202183323472,-0.1783816863630287,0.952,0.982803738317757,5.48046368375947,0.05085360781673817,0.772,0.9119170984455959,False,False,False,0
Eucrite-pmict,207,2.6215435595471335,7.842692057922876,-1.6849644167323166,0.012,0.17600000000000002,7.7392090386874735,-1.672263231652685,0.012,0.29333333333333333,7.6235226060882315,-1.694789260599344,0.012,0.29333333333333333,False,False,False,0
Eucrite-unbr,32,2.221991476007966,1.859269834453063,1.5795708514454188,0.096,0.613953488372093,1.8633496821613222,1.5701434243625656,0.096,0.8221052631578947,1.8529671153471583,1.5497076399201692,0.104,0.7380645161290322,False,False,False,0
H,82,6.227132428354912,4.997028834835164,0.6727282310478925,0.488,0.8598473282442748,5.252308356336535,0.5602222562570063,0.56,0.9504,4.996832220830125,0.7106804594688604,0.46,0.8672463768115942,False,False,False,0
H-imp melt,11,1.1868366494483593,1.2118945329133812,-0.26163148433683997,0.884,0.9480193236714977,1.2153881452446307,-0.28794536852977587,0.884,0.9810526315789475,1.2148872584122536,-0.29142499591440474,0.86,0.9366336633663366,False,False,False,0
H-melt rock,8,1.6861405857977592,1.685278920500635,0.004597262541134407,0.964,0.9773271889400921,1.6711092470182893,0.07927996024024288,0.904,0.9810526315789475,1.6619004755063251,0.1283115816726199,0.82,0.9157360406091369,False,False,False,0
H-metal,6,1.7511586558016978,1.6094795737592582,1.3338591978255332,0.2,0.7479999999999999,1.620699747086464,1.2742426914947762,0.2,0.8221052631578947,1.6153089612872904,1.241492433643184,0.22,0.7652173913043478,False,False,False,0
H/L3,6,0.7578638099299849,0.9964073339916422,-1.1603583530666821,0.268,0.8131645569620253,1.009581313613903,-1.1938128821763758,0.236,0.8221052631578947,1.0126356767125306,-1.1880016391061674,0.2,0.7586206896551724,False,False,False,0
H/L4,13,2.793823424975059,2.3142331946495416,0.7837424999073959,0.492,0.8598473282442748,2.185870615469258,0.9759228074737217,0.424,0.9215094339622643,2.28390870022718,0.7801032128914032,0.524,0.8672463768115942,False,False,False,0
H/L5,7,0.9376744369668887,0.9834645721675871,-0.551862935232463,0.604,0.8742857142857142,0.9864862038828948,-0.565636411823871,0.6,0.9504,0.9836494089825675,-0.5432952101252247,0.624,0.8912820512820512,False,False,False,0
H/L6,11,0.8262886865564208,0.8187025291190351,0.08702862426580664,0.936,0.9667605633802817,0.823426280769912,0.034127802618477726,0.928,0.9810526315789475,0.8205280232174081,0.06725472306893475,0.952,0.9607339449541284,False,False,False,0
H3,386,9.197091951938791,11.091199609083299,-0.4401540709373499,0.86,0.9412935323383084,9.46312493892509,-0.06940288891162288,0.888,0.9810526315789475,10.70234132414639,-0.3703298475170708,0.908,0.9464150943396227,False,False,False,0
H3-4,10,2.8493183187772426,2.0219137037894543,1.447325019965833,0.184,0.7479999999999999,2.0774085597842578,1.335504406516856,0.26,0.8221052631578947,1.9792499339482035,1.497254582462151,0.192,0.7586206896551724,False,False,False,0
H3-5,39,2.373014708006444,3.7693646666676903,-1.1020688176468332,0.296,0.8139999999999998,3.364714568299414,-0.7916153571036825,0.484,0.9322033898305084,3.6802104308759214,-1.1495628112009681,0.24,0.7652173913043478,False,False,False,0
H3-6,43,4.054395112447689,3.9464350605349265,0.08541152127590917,0.848,0.9412935323383084,3.681919320201263,0.29470063446883704,0.672,0.9726315789473684,3.8844358729812467,0.14170355031545537,0.792,0.9119170984455959,False,False,False,0
H3.3,7,2.2854811453701473,2.29802703876207,-0.10014509421234745,0.796,0.9314893617021277,2.2626314097715703,0.18453666514341885,0.916,0.9810526315789475,2.2841386289821477,0.010530115259506341,0.912,0.9464150943396227,False,False,False,0
H3.4,16,1.9457566594356794,2.588875759460601,-0.9294676350744346,0.428,0.8598473282442748,2.694102088507517,-1.0864920402500482,0.324,0.8530612244897958,2.5852553617499963,-0.9242992007153618,0.396,0.8458252427184466,False,False,False,0
H3.5,18,2.460640409642023,2.685605827132154,-0.287983207525426,0.856,0.9412935323383084,2.8449691210932624,-0.504481094046104,0.664,0.9674172185430464,2.701677108280256,-0.2978207405587194,0.836,0.9242211055276381,False,False,False,0
H3.6,42,5.984975265852867,4.027364690201111,1.4950635946263389,0.212,0.7645901639344262,4.335542293069,1.3481408186246122,0.272,0.8221052631578947,3.974314966613272,1.5134831942199434,0.176,0.7586206896551724,False,False,False,0
H3.7,75,6.416024871030367,5.065523847169394,0.768583856865491,0.5,0.8598473282442748,5.386814875597636,0.5928904560898742,0.6,0.9504,4.884738856518819,0.8720481264097097,0.444,0.8672463768115942,False,False,False,0
H3.8,76,3.7412853080057493,5.077967904999548,-0.7745223761946451,0.528,0.8604444444444446,4.57926712481393,-0.477239151559572,0.788,0.9810526315789475,5.003747710782123,-0.7014649740741233,0.592,0.8912820512820512,False,False,False,0
H3.9,43,2.760800114624673,3.8357314074163016,-0.8145601985935919,0.488,0.8598473282442748,3.1221383189684246,-0.2935486315469097,0.916,0.9810526315789475,3.745886881292308,-0.7353583890416586,0.54,0.8672463768115942,False,False,False,0
H3.9/4,5,1.916374507794792,1.5082633536563659,1.2717873096536407,0.264,0.8131645569620253,1.5301430382445451,1.241700733147394,0.276,0.8221052631578947,1.539154391667298,1.196820281726605,0.292,0.7652173913043478,False,False,False,0
H3/4,35,3.8042107466480655,3.340523882448686,0.3788651228646581,0.716,0.9093333333333333,3.7914265558849984,0.0106501725686237,0.972,0.9854377880184332,3.5806747535665946,0.18399757235439587,0.844,0.9281592039800995,False,False,False,0
H4,4211,9.880252803845785,31.747463116046724,-1.8731619477655892,0.004,0.088,32.82150818889865,-1.7963197942866025,0.008,0.25142857142857145,32.637568027917325,-1.9689606806150637,0.0,0.0,True,False,True,2
H4 ,11,1.6838638947533973,1.4945088528378743,1.17828090323973,0.28,0.8131645569620253,1.4972115523260636,1.1911127188091524,0.284,0.8221052631578947,1.4938089726782326,1.1995667200079232,0.276,0.7652173913043478,False,False,False,0
H4-5,47,1.619198370051983,4.0169566412467645,-1.7753343606817589,0.004,0.088,3.2467820546952284,-1.255232212716617,0.088,0.8221052631578947,3.9136069433634355,-1.7482780604491965,0.012,0.29333333333333333,True,False,False,1
H4-6,67,3.591745806578145,4.5953018828844385,-0.6626312081219591,0.612,0.8742857142857142,3.8461388924091455,-0.16925346633327296,0.924,0.9810526315789475,4.812628608008443,-0.7312558131168098,0.556,0.8737142857142858,False,False,False,0
H4-an,10,1.3355826473773493,1.9846510015622105,-1.0416524677561267,0.444,0.8598473282442748,1.8129837741145214,-0.8646150761381962,0.5,0.9322033898305084,2.206807827120365,-1.5021018065118643,0.2,0.7586206896551724,False,False,False,0
H4/5,428,8.54672180726932,10.962045411145205,-0.5709804178777638,0.724,0.9093333333333333,9.859356474975545,-0.3295380751368724,0.968,0.9854377880184332,11.186145565547067,-0.6098968457761457,0.692,0.9119170984455959,False,False,False,0
H4/6,6,0.899761261209181,1.4773603069164414,-1.3674325738582402,0.124,0.62,1.334097017294119,-1.102931047007909,0.232,0.8221052631578947,1.44148202472677,-1.2839897227836015,0.148,0.7516666666666666,False,False,False,0
H5,7138,23.620075594912194,38.11065543020966,-1.4406723635276206,0.22,0.7682539682539682,38.17128257855792,-1.2947195570405474,0.256,0.8221052631578947,38.08644584755113,-1.3528313608379055,0.24,0.7652173913043478,False,False,False,0
H5 ,22,4.505833644653488,4.1288586583845275,1.0495919553339872,0.388,0.8451485148514851,4.014941355271429,1.506967794325301,0.176,0.8221052631578947,4.111798726117064,1.1218242666936882,0.344,0.7722448979591836,False,False,False,0
H5-6,63,6.539076341006044,4.464852397711527,1.3033217806786208,0.28,0.8131645569620253,4.111970886443172,1.4276677684014307,0.22,0.8221052631578947,4.455135468517869,1.3754170919865498,0.252,0.7652173913043478,False,False,False,0
H5/6,193,3.155360618674839,7.619299897741896,-1.5008354561704467,0.016,0.20705882352941177,5.772610830766903,-1.0376531487154046,0.22,0.8221052631578947,7.643773014354279,-1.5373636238748676,0.04,0.44000000000000006,False,False,False,0
H6,4527,9.87308096605727,33.60394975637566,-1.9111220118108558,0.0,0.0,32.88655321828451,-1.6692771999902845,0.0,0.0,33.108412039999386,-1.8129750453718236,0.008,0.25142857142857145,True,True,False,2
H7,12,1.5544516106534567,2.377404638985077,-1.34894700492449,0.184,0.7479999999999999,2.1953736601483502,-1.1752144125527322,0.208,0.8221052631578947,2.3553276843648376,-1.311588748304965,0.172,0.7586206896551724,False,False,False,0
Howardite,240,4.588835625963014,8.452868324150883,-1.1765537017339396,0.2,0.7479999999999999,8.178466725959941,-1.0680060736033834,0.284,0.8221052631578947,8.089565763035365,-1.1775733078784882,0.152,0.7516666666666666,False,False,False,0
H~4,18,1.4264587123088108,2.482599499697809,-1.146191151793639,0.312,0.826987951807229,2.1166735001026318,-0.8090757568875574,0.516,0.9460000000000001,2.3920539109575985,-1.0675525288205108,0.364,0.8008,False,False,False,0
H~5,111,5.18852516572821,6.167489286396457,-0.46732688843320913,0.772,0.918054054054054,4.6536172007244,0.2678759080488023,0.6,0.9504,6.145853036327572,-0.43275434027586945,0.796,0.9119170984455959,False,False,False,0
H~6,22,2.2140422285127905,2.9879241454238303,-0.8696142036889725,0.492,0.8598473282442748,2.549128794262948,-0.42746559341894536,0.824,0.9810526315789475,2.978205030602164,-0.8536451022168756,0.464,0.8672463768115942,False,False,False,0
Iron,76,4.133489712768503,4.831431681080412,-0.37691606597594324,0.92,0.9667605633802817,4.914609759806067,-0.4403243003579987,0.84,0.9810526315789475,4.812045865482329,-0.3639757606744878,0.912,0.9464150943396227,False,False,False,0
"Iron, IAB complex",51,2.979932975437118,3.722154023577519,-0.4904713181977002,0.852,0.9412935323383084,4.031066886595664,-0.6793560688942157,0.648,0.9504,3.9301995686119375,-0.611896944380254,0.704,0.9119170984455959,False,False,False,0
"Iron, IAB-MG",83,4.948233080163683,4.71531878140203,0.11374973925137474,0.78,0.9223529411764707,4.942478775057317,0.002811777682094007,0.9,0.9810526315789475,5.030316776006217,-0.04133165557248187,0.92,0.9492592592592594,False,False,False,0
"Iron, IAB-sHH",5,1.6511102842074206,1.2582868536028464,0.8756592501111354,0.492,0.8598473282442748,1.4164183642647405,0.5685997293705495,0.752,0.9810526315789475,1.2536570475605804,0.8413717161535351,0.528,0.8672463768115942,False,False,False,0
"Iron, IAB-sHL",17,3.1444321781047804,2.295740579395305,1.0231583270691513,0.388,0.8451485148514851,2.460503301302788,0.8558771554381872,0.44,0.9215094339622643,2.2791965707211412,1.1031433086369733,0.34,0.7711340206185568,False,False,False,0
"Iron, IAB-sLH",9,1.480855554820915,1.9447490969696828,-0.8833549064544393,0.452,0.8598473282442748,2.0204812725499033,-1.0789100396567795,0.352,0.8530612244897958,1.852497904329098,-0.6809688187302702,0.616,0.8912820512820512,False,False,False,0
"Iron, IAB-sLL",27,3.641447250558206,2.8424136956904613,0.767210219122192,0.476,0.8598473282442748,2.953781744666805,0.6155573528445566,0.54,0.9504,2.860292946897799,0.7127477670866836,0.492,0.8672463768115942,False,False,False,0
"Iron, IAB-sLM",10,1.2676624187532455,1.807354815997668,-0.910242183677516,0.376,0.8451485148514851,1.8474856942069882,-0.9694142140679417,0.38,0.8530612244897958,1.7964499561465372,-0.8192661704956118,0.52,0.8672463768115942,False,False,False,0
"Iron, IAB-ung",46,5.279457503798249,3.6457183407875178,1.1347298867484301,0.332,0.830561797752809,3.7516338673220555,1.0799533011142322,0.336,0.8530612244897958,3.653022278853697,1.1098618243503517,0.372,0.8102970297029704,False,False,False,0
"Iron, IC",10,1.7273667402399573,1.6963070592966476,0.04769190336897958,0.892,0.9480193236714977,1.758287761576333,-0.04763351275960091,0.912,0.9810526315789475,1.7320471052003799,-0.007021627976280535,0.928,0.9492592592592594,False,False,False,0
"Iron, IIAB",117,6.6589149430159145,5.6368751400183195,0.43750950680089074,0.616,0.8743225806451613,6.085281785553873,0.24506099461629413,0.82,0.9810526315789475,5.887518005745012,0.3268306737268216,0.72,0.9119170984455959,False,False,False,0
"Iron, IIC",8,1.0244924835386435,1.5594791737332196,-0.8924697154303487,0.428,0.8598473282442748,1.622040122573435,-1.0698201911065681,0.316,0.8530612244897958,1.5255749663569804,-0.8734080672942445,0.428,0.8672463768115942,False,False,False,0
"Iron, IID",19,1.9507339298698876,2.3513277887204587,-0.45871300694950545,0.784,0.9223529411764707,2.3800001650405034,-0.4867988561311948,0.764,0.9810526315789475,2.3182425606273864,-0.4147139098044935,0.836,0.9242211055276381,False,False,False,0
"Iron, IIE",14,1.73088023400597,2.1468764036905483,-0.5942144765702476,0.636,0.8745,2.2001683546615833,-0.6655900790899358,0.628,0.9504,2.1414312770661286,-0.54574181495325,0.752,0.9119170984455959,False,False,False,0
"Iron, IIE-an",7,1.6201279259663304,1.5293171272538229,0.18232206213028437,0.804,0.935873015873016,1.6064615356333016,0.028089792264976925,0.9,0.9810526315789475,1.5004028148785196,0.24810386161423156,0.74,0.9119170984455959,False,False,False,0
"Iron, IIF",6,0.7329951385684668,1.2886105043809066,-1.1244950242460579,0.256,0.8131645569620253,1.3783228069760807,-1.292619036612231,0.2,0.8221052631578947,1.289215957597688,-1.0883237978277747,0.304,0.7652173913043478,False,False,False,0
"Iron, IIG",6,0.5603431893982307,1.2921513191012537,-1.443740151479278,0.12,0.613953488372093,1.3222484127826093,-1.5246431775484495,0.096,0.8221052631578947,1.3113324211524422,-1.413209104235507,0.16,0.7516666666666666,False,False,False,0
"Iron, IIIAB",284,7.941048215211246,8.676203149315384,-0.21296276540691614,0.908,0.9603846153846155,8.463225845690477,-0.21384865693398028,0.72,0.9810526315789475,8.758846238211046,-0.2357181503304869,0.896,0.9464150943396227,False,False,False,0
